"","Participant","trialNumber","Sort","Condition","ClipStart","ClipStop","RecordingStart","ETClipStart","ETClipStop"
"233","P06",32,"P06 Tablet","Tablet",3290.2375898,3319.2669682,-13790,17080.2375898,17109.2669682
"234","P06",33,"P06 Tablet","Tablet",3328.4596145,3359.507755,-13790,17118.4596145,17149.507755
"235","P06",34,"P06 Tablet","Tablet",3375.0070801,3402.65149,-13790,17165.0070801,17192.65149
"236","P06",35,"P06 Tablet","Tablet",3422.6718373,3446.5961181,-13790,17212.6718373,17236.5961181
"237","P06",36,"P06 Tablet","Tablet",3453.0359034,3493.7104929,-13790,17243.0359034,17283.7104929
"238","P06",37,"P06 Tablet","Tablet",3500.1169288,3529.3799344,-13790,17290.1169288,17319.3799344
"239","P06",38,"P06 Tablet","Tablet",3543.2773449,3563.2809701,-13790,17333.2773449,17353.2809701
"240","P06",39,"P06 Tablet","Tablet",3581.7664057,3617.4692089,-13790,17371.7664057,17407.4692089
"241","P07",0,"P07 Baseline","Baseline",595.073402500002,617.546173000002,-16697,17292.0734025,17314.546173
"242","P07",1,"P07 Baseline","Baseline",637.533066900003,673.252575100003,-16697,17334.5330669,17370.2525751
"243","P07",2,"P07 Baseline","Baseline",687.017746500002,724.254277100001,-16697,17384.0177465,17421.2542771
"244","P07",3,"P07 Baseline","Baseline",736.618212000001,765.862882900001,-16697,17433.618212,17462.8628829
"245","P07",4,"P07 Baseline","Baseline",778.175631000002,815.146412900001,-16697,17475.175631,17512.1464129
"246","P07",5,"P07 Baseline","Baseline",824.889627100001,878.093509800001,-16697,17521.8896271,17575.0935098
"247","P07",6,"P07 Baseline","Baseline",905.0041556,947.780813500001,-16697,17602.0041556,17644.7808135
"248","P07",7,"P07 Baseline","Baseline",957.006825600001,999.1327972,-16697,17654.0068256,17696.1327972
"249","P07",8,"P07 Tablet","Tablet",1310.6652596,1343.0146657,-15962,17272.6652596,17305.0146657
"250","P07",9,"P07 Tablet","Tablet",1358.3302227,1383.4223455,-15962,17320.3302227,17345.4223455
"251","P07",10,"P07 Tablet","Tablet",1402.0411609,1418.3910877,-15962,17364.0411609,17380.3910877
